"학교명","구","동","주소","전화","팩스","홈페이지"
"불정초등학교","분당구","정자동","경기도 성남시 분당구 돌마로 250","031-713-0453","031-713-0455","https://buljung-e.goesn.kr"
"산운초등학교","분당구","운중동","경기도 성남시 분당구 판교원로117번길 11","031-8016-3001","031-8016-3004","https://sanun-e.goesn.kr"
"상대원초등학교","중원구","상대원동","경기도 성남시 중원구 순환로214번길 16","031-736-7414","031-736-7415","https://sangdaewon-e.goesn.kr"
"상원초등학교","중원구","은행동","경기도 성남시 중원구 은행로 6","031-741-2197","031-744-5262","https://sangwon-e.goesn.kr"
"상탑초등학교","분당구","야탑동","경기도 성남시 분당구 판교로 647","031-706-4123","031-706-4125","https://sangtap-e.goesn.kr"
"서당초등학교","분당구","서현동","경기도 성남시 분당구 돌마로476번길 30","031-701-2663","031-701-2666","https://seodang-e.goesn.kr"
"서현초등학교","분당구","서현동","경기도 성남시 분당구 중앙공원로39번길 12","031-701-2171","031-701-2172","https://seohyeon-e.goesn.kr"
"성남동초등학교","중원구","금광동","경기도 성남시 중원구 자혜로32번길 10","031-746-9456","070-4032-2325","https://snd-e.goesn.kr"
"성남매송초등학교","분당구","이매동","경기도 성남시 분당구 탄천로 97","070-4346-5600","031-703-0774","https://snms-e.goesn.kr"
"성남미금초등학교","분당구","구미동","경기도 성남시 분당구 미금로 151","031-714-0092","031-714-0095","https://snmg-e.goesn.kr"
"성남북초등학교","수정구","산성동","경기도 성남시 수정구 희망로534번길 3","031-746-7701","031-749-4529","https://snb-e.goesn.kr"
"성남서초등학교","수정구","태평동","경기도 성남시 수정구 태평로 19","031-753-5701","031-754-0905","https://seongnamseo-e.goesn.kr"
"성남송현초등학교","분당구","삼평동","경기도 성남시 분당구 동판교로 258","031-8016-2002","031-8016-2005","https://snsonghyeon-e.goesn.kr"
"성남수정초등학교","수정구","수진동","경기도 성남시 수정구 제일로123번길 9","031-757-1584","031-721-5047","https://snsj-e.goesn.kr"
"성남신기초등학교","분당구","정자동","경기도 성남시 분당구 황새울로 74","031-713-3691","031-713-1589","https://snsg-e.goesn.kr"
"성남신흥초등학교","수정구","신흥동","경기도 성남시 수정구 공원로436번길 17","031-744-5456","031-744-5458","https://snsh-e.goesn.kr"
"성남양지초등학교","수정구","양지동","경기도 성남시 수정구 논골로36번길 33","031-733-1797","031-733-1424","https://snyj-e.goesn.kr"
"성남여수초등학교","중원구","여수동","경기도 성남시 중원구 여수울로 37","031-757-6905","031-757-6908","https://snys-e.goesn.kr"
"성남은행초등학교","중원구","은행동","경기도 성남시 중원구 순환로447번길 11","031-734-0514","031-747-0683","https://sneh-e.goesn.kr"
"성남장안초등학교","분당구","분당동","경기도 성남시 분당구 장안로51번길 10","031-701-7075","031-701-7076","https://snjangan-e.goesn.kr"
"성남정자초등학교","분당구","궁내동","경기도 성남시 분당구 분당수서로 442","031-711-5197","031-711-4378","https://snjj-e.goesn.kr"
"성남제일초등학교","중원구","중앙동","경기도 성남시 중원구 광명로184번길 23","031-746-6712","031-734-6317","https://snji-e.goesn.kr"
"성남중앙초등학교","중원구","하대원동","경기도 성남시 중원구 원터로94번길 7","031-754-4413","031-754-3964","https://snjungang-e.goesn.kr"
"성남초등학교","수정구","신흥동","경기도 성남시 수정구 수정로 233","031-755-1129","031-755-1432","https://sn-e.goesn.kr"
"성남화랑초등학교","분당구","백현동","경기도 성남시 분당구 동판교로 77","031-703-2600","031-703-4433","https://hwarang-e.goesn.kr"
"성수초등학교","수정구","수진동","경기도 성남시 수정구 모란로 11","031-752-9603","031-755-3947","https://seongsu-e.goesn.kr"
"수내초등학교","분당구","수내동","경기도 성남시 분당구 백현로243번길 12","031-711-2152","031-711-2154","https://sunae-e.goesn.kr"
"수진초등학교","수정구","태평동","경기도 성남시 수정구 탄리로95번길 16","031-756-2187","031-756-2185","https://sujin-e.goesn.kr"
"신백현초등학교","분당구","백현동","경기도 성남시 분당구 판교역로14번길 42","031-8017-2071","031-8017-2075","https://shinbh-e.goesn.kr"
"안말초등학교","분당구","이매동","경기도 성남시 분당구 양현로 104","031-704-6161","031-704-6162","https://anmal-e.goesn.kr"
"야탑초등학교","분당구","야탑동","경기도 성남시 분당구 양현로 400","031-781-3323","031-704-8195","https://yatap-e.goesn.kr"
"양영초등학교","분당구","서현동","경기도 성남시 분당구 불정로406번길 17","031-707-0123","031-707-0125","https://yy-e.goesn.kr"
"오리초등학교","분당구","구미동","경기도 성남시 분당구 미금로 121","031-714-0672","031-714-0675","https://ori-e.goesn.kr"
"왕남초등학교","수정구","고등동","경기도 성남시 수정구 왕남로 24","031-723-7150","031-723-8422","https://wang-e.goesn.kr"
"운중초등학교","분당구","운중동","경기도 성남시 분당구 운중로45번길 8","031-781-5482","031-781-5487","https://uj-e.goesn.kr"
"위례고운초등학교","수정구","창곡동","경기도 성남시 수정구 위례순환로 155","031-751-9343","031-751-9399","https://wrgoun-e.goesn.kr"
"위례중앙초등학교","수정구","위례동","경기도 성남시 수정구 위례순환로 71","031-759-9060","031-759-9061","https://wrjungang-e.goesn.kr"
"위례푸른초등학교","수정구","창곡동","경기도 성남시 수정구 위례순환로 205","031-757-6517","031-755-4445","https://wiryepureun-e.goesn.kr"
"위례한빛초등학교","수정구","창곡동","경기도 성남시 수정구 위례동로 55","031-759-9673","031-759-9672","https://whb-e.goesn.kr"
"위례해솔초등학교","수정구","복정동","경기도 성남시 수정구 남위례로 131","031-759-6701","031-759-6704","https://wrhs-e.goesn.kr"
"이매초등학교","분당구","이매동","경기도 성남시 분당구 양현로 146","031-704-4086","031-704-4089","https://imae-e.goesn.kr"
"중부초등학교","중원구","금광동","경기도 성남시 중원구 자혜로 55","031-730-7104","031-733-4494","https://jungbu-e.goesn.kr"
"중원초등학교","중원구","상대원동","경기도 성남시 중원구 사기막골로31번길 46","031-743-6480","031-743-6482","https://joongwon-e.goesn.kr"
"중탑초등학교","분당구","야탑동","경기도 성남시 분당구 벌말로 68","031-705-5854","031-705-5855","https://jungtap-e.goesn.kr"
"청솔초등학교","분당구","구미동","경기도 성남시 분당구 금곡로 243","031-713-0742","031-713-0745","https://chungsol-e.goesn.kr"
"초림초등학교","분당구","수내동","경기도 성남시 분당구 수내로90번길 26","031-711-2102","031-711-2104","https://chorim-e.goesn.kr"
"탄천초등학교","분당구","정자동","경기도 성남시 분당구 내정로 20","031-714-0761","031-714-0764","https://tanchun-e.goesn.kr"
"태평초등학교","수정구","태평동","경기도 성남시 수정구 남문로32번길 7","031-753-9473","031-753-9475","https://tp-e.goesn.kr"
"판교대장초등학교","분당구","대장동","경기도 성남시 분당구 판교대장로5길 71","031-724-0710","031-719-6902","https://pangyodaejang-e.goesn.kr"
"판교초등학교","분당구","판교동","경기도 성남시 분당구 판교원로 231","031-8017-0429","031-8017-0575","https://pangyo-e.goesn.kr"
"하원초등학교","중원구","금광동","경기도 성남시 중원구 광명로 396","031-731-6073","031-731-6075","https://hw-e.goesn.kr"
"하탑초등학교","분당구","이매동","경기도 성남시 분당구 양현로 262","031-705-0981","031-705-0985","https://hatap-e.goesn.kr"
"한솔초등학교","분당구","정자동","경기도 성남시 분당구 돌마로 303","031-713-0362","031-713-0365","https://hs-e.goesn.kr"
"희망대초등학교","수정구","신흥동","경기도 성남시 수정구 공원로370번길 29","031-732-4114","031-731-5506","https://hmd-e.goesn.kr"
